phase,treatment,outcome,test_variable,estimate,se,pvalue
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,mean.forest.prediction,0.9728498072453579,0.25489129321764076,6.76955280449103e-05
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,differential.forest.prediction,0.6144337793693627,0.4480350695542948,0.08512862274037876
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,mean.forest.prediction,1.5097435327233073,0.9413703657142168,0.05438517250633586
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,differential.forest.prediction,-0.274462221689335,0.4979959383606007,0.7092277238119485
Phase 1 - Full,treatment_other food,avg_daily_expenditure,mean.forest.prediction,0.8883783865299409,0.6139615352677239,0.07395692800050783
Phase 1 - Full,treatment_other food,avg_daily_expenditure,differential.forest.prediction,0.6704618352296678,0.3718142851448705,0.03567995365420456
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,mean.forest.prediction,-6.723740452555778,8.123739387807005,0.7960681838497619
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,differential.forest.prediction,-2.1480306713675033,1.2516765386398212,0.9569272508957902
Phase 1 - Full,treatment_ready-to-eat food,avg_daily_expenditure,mean.forest.prediction,1.9263234348475415,0.7296649702037749,0.004146401180486053
Phase 1 - Full,treatment_ready-to-eat food,avg_daily_expenditure,differential.forest.prediction,-1.085640520672951,0.7056040302707518,0.9380456617602269
Phase 1 - Full,treatment_meat/seafood,avg_daily_expenditure,mean.forest.prediction,1.3191223746589245,2.219663462268019,0.27616058517043396
Phase 1 - Full,treatment_meat/seafood,avg_daily_expenditure,differential.forest.prediction,0.35389485832311746,0.5602050121173844,0.2637850585134666
