treatment,confounder_group,strength_to_d,strength_to_y
treatment_Any Coupon,Baseline Spending,0.0546290565441784,0.15982384891550377
treatment_Any Coupon,Demographics,0.0246048309186594,0.06358501837235898
treatment_drugstore items,Baseline Spending,0.05166238993364425,0.15982384891550377
treatment_drugstore items,Demographics,0.02411367102174537,0.06358501837235898
treatment_other food,Baseline Spending,0.0546290565441784,0.15982384891550377
treatment_other food,Demographics,0.0246048309186594,0.06358501837235898
treatment_other non-food products,Baseline Spending,0.021438666667986633,0.15982384891550377
treatment_other non-food products,Demographics,0.01191021276612875,0.06358501837235898
treatment_ready-to-eat food,Baseline Spending,0.031176608638677883,0.15982384891550377
treatment_ready-to-eat food,Demographics,0.018480886150201752,0.06358501837235898
treatment_meat/seafood,Baseline Spending,0.040933189071232536,0.15982384891550377
treatment_meat/seafood,Demographics,0.019357454869700863,0.06358501837235898
