feature,importance,treatment
age_range_18-25,2.0473700773071775e-05,treatment_Any Coupon
age_range_26-35,0.011970644763193655,treatment_Any Coupon
age_range_36-45,0.01982913379775632,treatment_Any Coupon
age_range_46-55,0.016866778280076607,treatment_Any Coupon
age_range_56-70,0.000348583837851348,treatment_Any Coupon
age_range_70+,0.00027110813913175364,treatment_Any Coupon
age_range_unknown,0.015052909833040582,treatment_Any Coupon
marital_status_Married,0.01831424870529424,treatment_Any Coupon
marital_status_Single,0.0034748888203374314,treatment_Any Coupon
marital_status_unknown,0.017712649120235166,treatment_Any Coupon
rented_0.0,0.01016323406379368,treatment_Any Coupon
rented_1.0,8.441521591982425e-05,treatment_Any Coupon
rented_unknown,0.012606788496549566,treatment_Any Coupon
family_size_1,0.015701264321812992,treatment_Any Coupon
family_size_2,0.01984816120728884,treatment_Any Coupon
family_size_3,0.00455560520430657,treatment_Any Coupon
family_size_4,0.000341668474353737,treatment_Any Coupon
family_size_5+,0.0009820398989590369,treatment_Any Coupon
family_size_unknown,0.018079164142763053,treatment_Any Coupon
no_of_children_1,0.008951236754920253,treatment_Any Coupon
no_of_children_2,0.0003349347040026335,treatment_Any Coupon
no_of_children_3+,0.0009357792820380578,treatment_Any Coupon
no_of_children_unknown,0.026378811304109257,treatment_Any Coupon
income_bracket_1.0,6.533791642040164e-05,treatment_Any Coupon
income_bracket_2.0,0.00016740987686338047,treatment_Any Coupon
income_bracket_3.0,0.00031585740450321094,treatment_Any Coupon
income_bracket_4.0,0.011989551638149057,treatment_Any Coupon
income_bracket_5.0,0.011759305688291435,treatment_Any Coupon
income_bracket_6.0,0.0010568377454072055,treatment_Any Coupon
income_bracket_7.0,2.177930547346722e-05,treatment_Any Coupon
income_bracket_8.0,2.8603872397824476e-05,treatment_Any Coupon
income_bracket_9.0,2.177930547346722e-05,treatment_Any Coupon
income_bracket_10.0,0.0,treatment_Any Coupon
income_bracket_11.0,0.0,treatment_Any Coupon
income_bracket_12.0,0.0,treatment_Any Coupon
income_bracket_unknown,0.014747624967580562,treatment_Any Coupon
lagged_spend_other food,0.10663362034348471,treatment_Any Coupon
lagged_spend_other non-food products,0.06557647335411898,treatment_Any Coupon
lagged_spend_ready-to-eat food,0.06442296355934964,treatment_Any Coupon
lagged_spend_drugstore items,0.0975287586607201,treatment_Any Coupon
lagged_spend_meat/seafood,0.12986101777846012,treatment_Any Coupon
lagged_coupon_drugstore items,0.0052067960553465135,treatment_Any Coupon
lagged_coupon_meat/seafood,0.006651296086609917,treatment_Any Coupon
lagged_coupon_other food,0.0036321548837550317,treatment_Any Coupon
