phase,treatment,outcome,variable,coef,se,pval
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,(Intercept),44.98320757880172,4.2680997323444085,6.038332202234573e-26
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_18.25,-24.30019763836461,49.95447510256429,0.6266524156578736
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_26.35,-17.301638819892435,48.182919214969054,0.719534892314682
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_36.45,-45.09287180190534,45.75908309259956,0.32441212065626157
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_46.55,-33.85823960897627,48.07710426465421,0.4812810326840171
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_56.70,-32.11377273397517,49.3957211311674,0.5156093819898391
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,age_range_70.,-19.88374370865335,48.92798692294894,0.684459248112828
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,family_size_1,3.998272023972631,27.378123375985506,0.883891215222599
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,family_size_2,-5.129743001016218,27.895918790851955,0.8541015193528829
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,family_size_3,-15.44606082606756,29.4206559600526,0.5995803077345931
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,family_size_4,-46.72290090802596,37.279573639009605,0.21009815227017173
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_1.0,43.2396362018534,45.05182111614123,0.33717264059273877
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_2.0,34.381597684138704,42.26243566988079,0.4159201577299696
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_3.0,19.214172448215937,42.22653496130747,0.6490924078856319
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_4.0,30.678924838346482,40.74759113776922,0.4515124695407069
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_5.0,39.65127688117702,41.860083632417584,0.34352415524628643
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_6.0,43.79578025663561,42.963115097837544,0.3080268830066543
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_7.0,30.2814650196282,45.06664844269226,0.5016336106269945
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_8.0,3.1543625192763836,46.856952339583366,0.9463280205075318
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_9.0,-6.4753026136712775,55.66097973873625,0.9073877443963221
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_10.0,-44.22448656614573,88.45043593085948,0.617083008899008
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure,income_bracket_11.0,189.43640306831907,106.1074486991481,0.07421423713981044
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,(Intercept),24.969114260674505,4.15859864752797,1.935683044011775e-09
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_18.25,43.34450817327543,107.78326481398724,0.6875789674055397
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_26.35,58.7370648609659,105.9680627539851,0.5793826672530966
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_36.45,49.49946960930971,103.61631330497484,0.6328523661376417
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_46.55,51.18689763318287,106.67851507609477,0.6313547154026524
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_56.70,12.92284068388046,105.86622140607511,0.9028459281424956
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,age_range_70.,54.21233833043192,106.09809097842033,0.6093782753910024
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,family_size_1,28.326093584539365,25.80175384483723,0.27228134628201733
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,family_size_2,19.64367101372214,26.345285889062392,0.4558981937233615
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,family_size_3,15.368511167622797,29.894427500455503,0.6071893285533028
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,family_size_4,9.133130439050044,32.04678678095305,0.7756501809450719
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_1.0,-54.25434474063921,105.48731906819069,0.6070298206171183
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_2.0,-42.386533369367974,105.11338417071734,0.6867690957564194
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_3.0,-59.38244860447148,105.93799553259035,0.5751138750171492
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_4.0,-43.49467999461052,104.44253754147181,0.6770854202474286
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_5.0,-38.57569301903115,104.85217691959484,0.7129452355772438
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_6.0,-43.684538498892074,105.46436406906125,0.6787210739176283
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_7.0,-30.262713243866816,104.50082148234186,0.7721287598575194
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_8.0,-13.739575803703689,110.56327549133358,0.901102870372319
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_9.0,-56.35408393589567,108.46859493938119,0.6033845070942698
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_10.0,-121.63629081357813,114.33722513058326,0.2874071496393211
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t1,income_bracket_11.0,-49.85204222949121,116.67964557366233,0.6691949232794272
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,(Intercept),10.295091009067349,4.033597633432564,0.01070337583675199
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_18.25,-81.98083098621359,85.0803736013449,0.33526669184803914
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_26.35,-61.96416086265835,86.83019556323991,0.47546276161839585
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_36.45,-58.63646876589439,84.94639213105887,0.49002381243616056
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_46.55,-72.21553285536739,86.73466178548175,0.40507277031835087
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_56.70,-79.37561371702975,89.14065937936255,0.37322679077339427
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,age_range_70.,-91.01949154185921,87.29772928787236,0.29712345559706527
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,family_size_1,30.835886807756545,27.6783216252218,0.2652499902652529
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,family_size_2,45.169115306411314,28.50305065817423,0.11303832915343802
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,family_size_3,8.411300440827214,31.120891249265753,0.7869473254487558
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,family_size_4,-45.18638130748005,39.19689830131252,0.24899604802862157
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_1.0,71.75781825978143,84.26817931821864,0.39447300505931526
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_2.0,76.21909155071917,84.659920401629,0.3679665232862013
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_3.0,82.24715390429354,85.44472001609597,0.33576441087730824
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_4.0,69.13579262895288,83.71968202723144,0.4089210398365297
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_5.0,76.93134915430201,84.1785111457813,0.3607700982760256
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_6.0,76.74854936517151,87.24390452658493,0.37902562807187434
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_7.0,60.60073416272299,86.65478494162888,0.48434594694501565
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_8.0,85.43801823973435,93.01238310543022,0.3583271151016735
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_9.0,104.28052939132591,102.73033802636049,0.31006798633726446
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_10.0,-16.580389329053336,100.30458874500499,0.8687082208508313
Phase 1 - Full,treatment_Any Coupon,avg_daily_expenditure_t2,income_bracket_11.0,37.31494011971694,121.81493695197966,0.759358636168318
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,(Intercept),37.383082298218135,2.3159578588021663,1.8108893523117815e-58
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_18.25,-11.64107863039153,31.76589174802628,0.7140198311119236
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_26.35,7.468562183608082,31.353940966656324,0.8117255978079798
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_36.45,-7.182052914691391,29.859356717824433,0.8099208328706328
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_46.55,-27.392103302954517,32.443532186692146,0.3985051866762621
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_56.70,-18.447990660926283,33.14602041786918,0.5778255152386221
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,age_range_70.,-8.72769021016383,33.16998215458679,0.7924590315328226
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,family_size_1,-19.0098165694715,18.692746544424168,0.30917616618193294
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,family_size_2,-2.9624155160355587,19.425066167282328,0.8787894119444152
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,family_size_3,0.8067125439478302,19.883066531927234,0.9676365906320059
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,family_size_4,-21.189485636064838,22.486169571373303,0.34602598307980004
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_1.0,-16.04997211525506,28.77884005309474,0.5770513600970768
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_2.0,3.460775943589164,44.04740727127483,0.9373754748345865
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_3.0,38.68511605059261,28.590791654023768,0.17604170653947446
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_4.0,39.57866865906287,26.83069100353525,0.1401845646639739
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_5.0,44.63794668754864,27.339136240431134,0.10252788366892422
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_6.0,32.87196953391078,28.164891846797207,0.24316498000836648
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_7.0,34.910776495713286,30.578325115937073,0.2535907835023713
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_8.0,9.884501811495191,32.916483193863975,0.7639569094391575
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_9.0,2.564929037021622,36.87218344247028,0.9445419860653131
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_10.0,-33.407082591822565,66.33131980400603,0.6145167684065872
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure,income_bracket_11.0,61.8652690395815,46.446173727343485,0.18287337019223934
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,(Intercept),28.133086760231198,2.4534461526499367,2.1130067400947197e-30
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,age_range_18.25,-18.508481906486757,35.854822079696504,0.6057126484193185
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,age_range_26.35,11.60549612506079,34.483881510006796,0.7364587348009074
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,age_range_36.45,-22.976769686900706,34.014391755961455,0.49936034230276394
